Nested Sampling Global Log-Evidence           :   -0.148025652936385885E+02  +/-    0.108652129284098772E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           2


Mode   1
Strictly Local Log-Evidence   -0.148025652936385885E+02 +/-    0.110307307583910677E+00
Local Log-Evidence   -0.148025652936385885E+02 +/-    0.108652129284098828E+00

Dim No.       Mean        Sigma
   1    0.620545580362831029E+00    0.558611384786464604E-01
   2    0.667409731311413013E+00    0.201741546444959979E-01
   3    0.116385143816438524E+00    0.273658465443563925E-01
   4    0.117229393571970472E+00    0.395719485542066624E-01
   5    0.528229620176063221E+02    0.841003800313382732E+00
   6    0.226989137331942092E+00    0.440361430701393317E-01
   7    0.200581820612125750E+01    0.945836533552411374E+00
   8    0.236458424325081573E+01    0.153802911867568587E+00
   9   -0.801161695927593454E+00    0.503432364713894964E+00
  10   -0.493411914023489384E+01    0.118092096677278890E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.610634939780272390E+00
   2    0.655464478012695251E+00
   3    0.881597246982988442E-01
   4    0.123349100591871291E+00
   5    0.524284478839627326E+02
   6    0.244334886155698372E+00
   7    0.261264233815004054E+01
   8    0.220570995498082922E+01
   9   -0.728288841052910918E+00
  10   -0.471136866186126113E+01

MAP Parameters
Dim No.        Parameter
   1    0.610634939780272390E+00
   2    0.655464478012695251E+00
   3    0.881597246982988442E-01
   4    0.123349100591871291E+00
   5    0.524284478839627326E+02
   6    0.244334886155698372E+00
   7    0.261264233815004054E+01
   8    0.220570995498082922E+01
   9   -0.728288841052910918E+00
  10   -0.471136866186126113E+01


Mode   2
Strictly Local Log-Evidence   -0.502994094743175921E+02 +/-    0.513423613518625754E+00
Local Log-Evidence   -0.501722285110398687E+02 +/-    0.865355818494340373E-01

Dim No.       Mean        Sigma
   1    0.123213330920891612E-01    0.140178625829788794E+00
   2    0.460945639250395711E+01    0.288022460659754953E+00
   3    0.399220152916940074E+00    0.285640187544810575E-01
   4    0.919760059969138705E-01    0.717609800031135531E-01
   5    0.550526378777461289E+02    0.102857958401991856E+01
   6    0.231339250502794580E+00    0.588712436369752679E-01
   7   -0.287945057667999782E+01    0.193516832733490873E+01
   8    0.259484748734862869E+01    0.974670937741291404E-01
   9   -0.149228803518927333E+01    0.785116085484619308E+00
  10   -0.475088946634072418E+01    0.212103749964800903E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.105973288860839787E+00
   2    0.481430829244579783E+01
   3    0.390740732815278047E+00
   4    0.718525818541950433E-02
   5    0.545536434387049596E+02
   6    0.296549202705062243E+00
   7    0.120152163982738891E+01
   8    0.259272402929750889E+01
   9   -0.860855792932914810E+00
  10   -0.728937271279237375E+01

MAP Parameters
Dim No.        Parameter
   1    0.156957729281621994E+00
   2    0.432373293164648231E+01
   3    0.439730169747959532E+00
   4    0.124075170854623648E+00
   5    0.560451109724595966E+02
   6    0.222698791598356566E+00
   7   -0.197935081455377926E+01
   8    0.268432153285565089E+01
   9   -0.279190068858073071E+01
  10   -0.434075548445473114E+01
