Nested Sampling Global Log-Evidence           :   -0.893795806778364863E+02  +/-    0.850015936956804163E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.893795806778364863E+02 +/-    0.850015936956804163E-01
Local Log-Evidence   -0.893795806778364863E+02 +/-    0.850015936956804163E-01

Dim No.       Mean        Sigma
   1    0.688157043245868683E+00    0.663650115535772689E-01
   2    0.182162154475423249E+00    0.116412008631395503E+00
   3    0.526334616518074370E+02    0.307153305366685891E+00
   4    0.204976577811465055E+00    0.631842762891783732E-01
   5    0.472651756739802420E+00    0.173550130913696032E+00
   6   -0.433064058174316724E+01    0.103583906285137339E+01
   7    0.213104935216832336E+01    0.673389807848939620E-01
   8   -0.460504787918391167E+00    0.245693761591213949E+00
   9   -0.835532763484288843E+00    0.687651583621511797E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.594665045068260345E+00
   2    0.352328228034601176E+00
   3    0.526681782330766737E+02
   4    0.279412794525806807E+00
   5    0.368871660307367177E+00
   6   -0.434902360155660084E+01
   7    0.203925677514362391E+01
   8   -0.110983891346770669E+00
   9   -0.602716266823177804E+00

MAP Parameters
Dim No.        Parameter
   1    0.594665045068260345E+00
   2    0.352328228034601176E+00
   3    0.526681782330766737E+02
   4    0.279412794525806807E+00
   5    0.368871660307367177E+00
   6   -0.434902360155660084E+01
   7    0.203925677514362391E+01
   8   -0.110983891346770669E+00
   9   -0.602716266823177804E+00
