Nested Sampling Global Log-Evidence           :   -0.245986646937713687E+02  +/-    0.907863886966984307E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           2


Mode   1
Strictly Local Log-Evidence   -0.301958297595615015E+02 +/-    0.457251247557533103E+00
Local Log-Evidence   -0.275117807488841670E+02 +/-    0.869279569258567947E-01

Dim No.       Mean        Sigma
   1    0.120669903404908574E+00    0.115856353082098226E-01
   2    0.250878593685195939E-01    0.117676836980861021E-01
   3    0.547236149682392607E+02    0.719033314254912126E+00
   4    0.377812759417769858E-01    0.165478995331668419E-01
   5   -0.333411923706010294E+01    0.963349532786330287E+00
   6    0.245327091472640957E+01    0.126307671878966282E-01
   7   -0.396295893868200355E+00    0.261549982397925984E+00
   8   -0.569988136118934108E+01    0.150857243544045505E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.117788719919093093E+00
   2    0.103968822999047049E-01
   3    0.552144417903479052E+02
   4    0.160488554461481019E-01
   5   -0.543611290556095028E+01
   6    0.245374077072803898E+01
   7   -0.810464704168512462E+00
   8   -0.458198867443737523E+01

MAP Parameters
Dim No.        Parameter
   1    0.117788719919093093E+00
   2    0.103968822999047049E-01
   3    0.552144417903479052E+02
   4    0.160488554461481019E-01
   5   -0.543611290556095028E+01
   6    0.245374077072803898E+01
   7   -0.810464704168512462E+00
   8   -0.458198867443737523E+01


Mode   2
Strictly Local Log-Evidence   -0.266741315725321861E+02 +/-    0.107515968993194891E+00
Local Log-Evidence   -0.246545011820024875E+02 +/-    0.901595307100364479E-01

Dim No.       Mean        Sigma
   1    0.162401769792752781E+00    0.277347805430193557E-01
   2    0.636074845338975708E-01    0.150295937156515493E-01
   3    0.523034171695367860E+02    0.118267446766302284E+00
   4    0.108880333676531507E+00    0.225319321129858023E-01
   5   -0.771730709596342823E+00    0.539621826558583484E+00
   6    0.214360975443562740E+01    0.412486014732911591E-01
   7   -0.114297514478317874E+00    0.100072763277918808E+00
   8   -0.328536776676384834E+01    0.393172158826710749E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.153060110185651660E+00
   2    0.660169909846977515E-01
   3    0.521970049659054354E+02
   4    0.114380120854233075E+00
   5   -0.646264239164599630E+00
   6    0.210409009161380700E+01
   7   -0.149176140566371629E-01
   8   -0.323382755192062188E+01

MAP Parameters
Dim No.        Parameter
   1    0.153060110185651660E+00
   2    0.660169909846977515E-01
   3    0.521970049659054354E+02
   4    0.114380120854233075E+00
   5   -0.646264239164599630E+00
   6    0.210409009161380700E+01
   7   -0.149176140566371629E-01
   8   -0.323382755192062188E+01
